                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.50117,                 1.0086,                 1.0516,                0.99618,                      1,                  0.995,                0.97854,                0.26538,                0.97978,                 0.8502,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                0.37538,                 0.8571,                0.96709,                0.99733,                      1,                  0.995,                0.98077,                0.25581,                0.92152,                0.84371,               8.17e-05,               8.17e-05,               8.17e-05
                      3,                0.35909,                0.73398,                0.95423,                0.99373,                      1,                  0.995,                0.98297,                0.24177,                0.86461,                0.83764,             0.00012808,             0.00012808,             0.00012808
                      4,                0.36272,                0.69078,                0.97078,                0.99055,                      1,                  0.995,                0.96664,                0.29814,                0.85422,                 0.8714,             0.00017248,             0.00017248,             0.00017248
                      5,                0.30585,                0.65657,                0.92483,                0.99595,                      1,                  0.995,                0.95777,                 0.3109,                0.89939,                0.89555,              0.0002149,              0.0002149,              0.0002149
                      6,                0.35068,                 0.7025,                0.90389,                 0.9964,                      1,                  0.995,                0.94539,                0.33409,                0.97339,                0.92499,             0.00025533,             0.00025533,             0.00025533
                      7,                0.41996,                0.71775,                0.98504,                0.99568,                      1,                  0.995,                0.94001,                0.33964,                0.93635,                0.93061,             0.00029379,             0.00029379,             0.00029379
                      8,                0.37534,                 0.6429,                0.91758,                0.98967,                      1,                  0.995,                0.94808,                0.33439,                 0.9343,                0.92447,             0.00033027,             0.00033027,             0.00033027
                      9,                0.33295,                  0.677,                 0.9729,                0.97845,                      1,                  0.995,                0.94997,                0.33727,                 1.0474,                0.93027,             0.00036477,             0.00036477,             0.00036477
                     10,                0.36916,                0.60154,                0.91983,                 0.9793,                0.99633,                  0.995,                0.96707,                0.31709,                 1.0392,                0.90788,             0.00039728,             0.00039728,             0.00039728
                     11,                0.37815,                0.69716,                0.97656,                0.99286,                      1,                  0.995,                0.97116,                0.31926,                 0.9126,                0.92982,             0.00042782,             0.00042782,             0.00042782
                     12,                0.44379,                0.72532,                 1.0128,                0.99601,                      1,                  0.995,                0.95866,                0.35039,                0.96747,                 0.9569,             0.00045637,             0.00045637,             0.00045637
                     13,                0.55193,                0.82633,                 1.0906,                0.99301,                0.99968,                  0.995,                0.93707,                0.43525,                 1.0024,                 1.0002,             0.00048295,             0.00048295,             0.00048295
                     14,                0.47678,                 0.8224,                 1.0232,                0.99029,                0.99825,                  0.995,                0.92503,                 0.4191,                 1.0082,                0.99044,             0.00050754,             0.00050754,             0.00050754
                     15,                0.48338,                0.92525,                 1.0385,                0.95203,                 0.9979,                  0.995,                0.91754,                 0.4068,                  1.129,                0.98685,             0.00053016,             0.00053016,             0.00053016
                     16,                0.46753,                0.74423,                 1.0417,                0.91189,                0.99098,                  0.995,                0.92092,                0.41741,                 1.1864,                 1.0004,             0.00055079,             0.00055079,             0.00055079
                     17,                0.47768,                0.75336,                 1.0037,                0.93427,                0.96784,                0.98544,                0.92691,                0.41924,                  1.171,                 1.0088,             0.00056945,             0.00056945,             0.00056945
                     18,                0.48866,                0.74241,                 1.0037,                0.94654,                0.97368,                0.99262,                0.94362,                0.39147,                 1.0773,                0.98816,             0.00058612,             0.00058612,             0.00058612
                     19,                0.43056,                0.69995,                 1.0033,                 0.9742,                0.97143,                0.99375,                0.94472,                0.41966,                0.99399,                 1.0143,             0.00060081,             0.00060081,             0.00060081
                     20,                0.45304,                 0.7328,                 1.0045,                0.94457,                      1,                0.99163,                0.92274,                0.43325,                 1.0354,                 1.0092,             0.00061353,             0.00061353,             0.00061353
                     21,                0.47779,                0.74938,                 1.0479,                0.94546,                      1,                0.99054,                0.90412,                0.44971,                 1.1205,                 1.0264,             0.00062426,             0.00062426,             0.00062426
                     22,                0.50219,                0.78187,                 1.0305,                 0.9272,                      1,                0.98288,                0.87057,                0.49124,                 1.2225,                 1.0635,             0.00063301,             0.00063301,             0.00063301
                     23,                0.43152,                0.74882,                  1.036,                0.92403,                0.98806,                0.98631,                0.81275,                0.63435,                 1.3868,                 1.2436,             0.00063978,             0.00063978,             0.00063978
                     24,                0.54114,                0.76957,                 1.0931,                0.81504,                0.93461,                0.94907,                0.67795,                0.98446,                 1.6655,                 1.7489,             0.00064457,             0.00064457,             0.00064457
                     25,                0.50097,                  1.016,                 1.0826,                0.81554,                0.81579,                0.94563,                0.66379,                0.97188,                 1.5777,                 1.7511,             0.00064738,             0.00064738,             0.00064738
                     26,                0.51097,                0.80331,                 1.0579,                0.69681,                 0.8836,                0.93931,                0.71763,                0.74048,                 1.7231,                 1.4628,             0.00064821,             0.00064821,             0.00064821
                     27,                0.38893,                0.69814,                 1.0185,                0.77613,                  0.906,                0.95688,                 0.7817,                0.59535,                 1.4976,                 1.2412,             0.00064706,             0.00064706,             0.00064706
