                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     28,                0.48643,                0.81116,                 1.0152,                0.91015,                0.97368,                0.99159,                0.86755,                0.52775,                 1.2364,                  1.101,             0.00064393,             0.00064393,             0.00064393
                     29,                0.48465,                0.77258,                   1.06,                0.91015,                0.97368,                0.99159,                0.86755,                0.52775,                 1.2364,                  1.101,             0.00063882,             0.00063882,             0.00063882
                     30,                0.47493,                0.77235,                 1.0328,                0.94691,                0.99605,                0.98888,                0.91256,                0.44084,                 1.0336,                 1.0253,             0.00063173,             0.00063173,             0.00063173
                     31,                0.44777,                0.73077,                0.97249,                0.97143,                0.99756,                0.99375,                0.91673,                0.39161,                 0.9543,                0.98205,             0.00062266,             0.00062266,             0.00062266
                     32,                0.49762,                0.74469,                 1.0428,                0.96829,                0.99543,                 0.9925,                0.90264,                0.40497,                0.96294,                0.98517,             0.00061161,             0.00061161,             0.00061161
                     33,                0.39299,                 0.6764,                0.96837,                0.96829,                0.99543,                 0.9925,                0.90264,                0.40497,                0.96294,                0.98517,             0.00059857,             0.00059857,             0.00059857
                     34,                0.44662,                0.77608,                 1.0094,                0.96662,                0.96868,                 0.9913,                0.91325,                0.42562,                0.99279,                0.98091,             0.00057778,             0.00057778,             0.00057778
                     35,                 0.4019,                0.67263,                 1.0037,                0.96981,                0.85457,                0.97056,                0.91031,                0.40464,                 1.2407,                0.95879,             0.00054478,             0.00054478,             0.00054478
                     36,                0.48401,                0.79705,                 1.0217,                0.84821,                0.92252,                0.96814,                0.90839,                0.39464,                 1.4163,                0.95821,             0.00051177,             0.00051177,             0.00051177
                     37,                0.42936,                0.69329,                 1.0021,                0.84821,                0.92252,                0.96814,                0.90839,                0.39464,                 1.4163,                0.95821,             0.00047876,             0.00047876,             0.00047876
                     38,                0.38201,                0.59396,                0.93493,                0.88132,                0.97368,                0.97672,                0.91638,                0.39303,                   1.28,                0.95877,             0.00044576,             0.00044576,             0.00044576
                     39,                0.47778,                0.73154,                 1.0387,                0.95749,                0.97368,                0.98979,                0.93524,                0.37008,                 1.0591,                0.94895,             0.00041275,             0.00041275,             0.00041275
                     40,                0.40904,                0.64572,                0.99686,                0.96953,                0.99707,                  0.995,                 0.9448,                0.33234,                0.86006,                0.92232,             0.00037974,             0.00037974,             0.00037974
                     41,                0.36394,                 1.1205,                0.96339,                0.96953,                0.99707,                  0.995,                 0.9448,                0.33234,                0.86006,                0.92232,             0.00034674,             0.00034674,             0.00034674
                     42,                0.42136,                 1.2719,                 1.0232,                0.99553,                      1,                  0.995,                0.94817,                0.32243,                0.78274,                0.90533,             0.00031373,             0.00031373,             0.00031373
                     43,                 0.3019,                 1.0858,                0.91817,                0.99683,                      1,                  0.995,                0.94621,                0.34128,                 0.7982,                0.91219,             0.00028072,             0.00028072,             0.00028072
                     44,                0.33022,                0.89913,                0.92343,                0.99609,                      1,                  0.995,                0.92658,                0.37587,                0.86692,                0.93554,             0.00024772,             0.00024772,             0.00024772
                     45,                0.32222,                0.86889,                0.91148,                0.99609,                      1,                  0.995,                0.92658,                0.37587,                0.86692,                0.93554,             0.00021471,             0.00021471,             0.00021471
                     46,                0.31258,                0.92013,                0.89976,                0.99662,                      1,                  0.995,                0.93078,                0.38296,                0.92711,                0.93865,              0.0001817,              0.0001817,              0.0001817
                     47,                0.32174,                0.83729,                0.95129,                0.99617,                      1,                  0.995,                0.94309,                 0.3626,                0.95364,                0.91902,              0.0001487,              0.0001487,              0.0001487
                     48,                0.36388,                0.88585,                0.91714,                0.99662,                      1,                  0.995,                0.95455,                0.34437,                0.95082,                0.90165,             0.00011569,             0.00011569,             0.00011569
                     49,                0.29159,                0.89116,                0.90863,                0.99662,                      1,                  0.995,                0.95455,                0.34437,                0.95082,                0.90165,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.31696,                0.84976,                 0.9309,                0.99688,                      1,                  0.995,                0.95736,                 0.3227,                0.92224,                0.88598,             4.9677e-05,             4.9677e-05,             4.9677e-05
