                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.51684,                0.88268,                 1.0687,                0.99349,                0.98544,                  0.995,                0.88172,                0.54163,                 1.4431,                 1.1614,             0.00054478,             0.00054478,             0.00054478
                     36,                0.55448,                0.99198,                 1.0609,                0.99389,                0.98483,                  0.995,                0.89118,                0.52694,                 1.3963,                 1.1787,             0.00051177,             0.00051177,             0.00051177
                     37,                0.46183,                0.88211,                0.99441,                0.99389,                0.98483,                  0.995,                0.89118,                0.52694,                 1.3963,                 1.1787,             0.00047876,             0.00047876,             0.00047876
                     38,                0.44666,                0.78269,                0.97555,                 0.9951,                0.98049,                  0.995,                0.90504,                0.49015,                 1.3156,                 1.1307,             0.00044576,             0.00044576,             0.00044576
                     39,                0.55943,                0.90306,                 1.1024,                0.98317,                0.99672,                  0.995,                0.92459,                0.45628,                 1.3193,                 1.0784,             0.00041275,             0.00041275,             0.00041275
                     40,                 0.4782,                0.85431,                 1.0531,                0.98411,                0.99731,                  0.995,                0.92134,                0.41609,                 1.2725,                 1.0272,             0.00037974,             0.00037974,             0.00037974
                     41,                0.36679,                 1.4825,                0.97145,                0.98411,                0.99731,                  0.995,                0.92134,                0.41609,                 1.2725,                 1.0272,             0.00034674,             0.00034674,             0.00034674
                     42,                 0.4278,                 1.6916,                 1.0397,                0.98269,                0.99849,                  0.995,                0.89697,                0.44964,                 1.3251,                 1.0539,             0.00031373,             0.00031373,             0.00031373
                     43,                 0.3957,                 1.4062,                0.97575,                0.98211,                0.99604,                  0.995,                0.88812,                0.49243,                 1.5017,                 1.1381,             0.00028072,             0.00028072,             0.00028072
                     44,                0.34512,                   1.16,                0.95033,                0.98614,                      1,                  0.995,                0.87342,                0.54975,                 1.7303,                 1.2828,             0.00024772,             0.00024772,             0.00024772
                     45,                0.37112,                 1.3069,                0.98138,                0.98614,                      1,                  0.995,                0.87342,                0.54975,                 1.7303,                 1.2828,             0.00021471,             0.00021471,             0.00021471
                     46,                0.33842,                 1.3644,                0.91193,                0.99075,                      1,                  0.995,                0.91322,                0.46251,                 1.7636,                 1.1262,              0.0001817,              0.0001817,              0.0001817
                     47,                0.29464,                 1.1986,                0.92945,                0.99598,                      1,                  0.995,                0.93295,                0.35698,                 1.6167,                0.96373,              0.0001487,              0.0001487,              0.0001487
                     48,                0.32971,                 1.2472,                0.92406,                0.99577,                      1,                  0.995,                0.94776,                0.30632,                 1.4285,                0.89145,             0.00011569,             0.00011569,             0.00011569
                     49,                0.35711,                 1.2715,                0.94826,                0.99577,                      1,                  0.995,                0.94776,                0.30632,                 1.4285,                0.89145,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.33884,                 1.1554,                0.93585,                0.99641,                      1,                  0.995,                0.95455,                0.27824,                 1.3432,                0.86136,             4.9677e-05,             4.9677e-05,             4.9677e-05
